SubjectID,RandomOrdering,Environment,Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime,,,Item Index,Item Name,,,,,,,,,,
1,2,full,4,1,0.0471008,0.1484093,-0.9878039,-0.000481077,-0.1554157,-0.9878491,171.4557,177.2701,17.60792,188.9409,180.0279,180.1774,17.48521,-2.757828,162.5694,-0.1302872,0.6296495,-0.7658764,-0.2777536,0.716723,-0.639657,140.5754,189.6545,348.3093,131.7481,203.4716,338.817,-8.827286,-13.81712,-9.49231,-30.88031,-12.38438,330.7014,-57.19281,-23.44368,158.6397,-26.3125,11.0593,-172.0618,4.032734,,,,,,,,,,,,,,3) sock has error flipped 
1,2,full,5,5,0.03363382,0.002820236,-0.9994304,-0.008524989,-0.1507657,-0.9885327,179.8383,178.0726,85.20689,188.6716,180.4941,183.2363,8.833298,-2.421539,98.02942,0.9966777,0.06328203,0.05127356,0.9636946,-0.1844733,-0.1930345,50.98426,87.05505,86.367,223.7009,101.3268,100.8366,172.7166,-14.27178,14.46964,-128.854,91.01751,1.160103,35.02924,79.16727,-82.39967,163.8833,11.85024,-83.55978,4.399057,,,,,,,,,,,,,,
1,2,full,6,7,0.0234259,0.1218039,-0.9922777,0.001518203,-0.166174,-0.9860952,173.0018,178.6476,10.88647,189.5655,179.9118,179.4766,16.56361,-1.264191,168.5901,0.4729306,0.5016863,-0.7243257,0.3997361,0.4511188,-0.7979367,145.2926,146.8585,43.31,150.5181,153.3909,41.54414,5.22551,-6.532379,-1.765862,-27.70929,31.78912,32.42353,-39.04739,26.52094,-137.9324,-11.3381,5.268188,-170.356,2.651508,,,,,,,,,,,,,,
1,2,full,7,8,0.01026606,0.05742728,-0.9982971,0.00302802,-0.1612671,-0.9869062,176.7077,179.4108,10.13549,189.2805,179.8242,178.9243,12.57283,-0.4133911,168.7888,0.225838,0.3746018,-0.8992613,0.2060047,0.001218571,-0.9785503,157.385,165.9025,31.08471,179.9287,168.1117,89.66108,22.54362,-2.209229,58.57637,-19.32263,13.50838,20.94922,-9.351837,11.71254,-89.26324,9.970795,1.795837,-110.2125,3.16499,,,,,,,,,,,,,,
1,2,full,8,6,0.03640442,0.09617507,-0.9946985,0.002976094,-0.160197,-0.9870806,174.4774,177.904,20.73277,189.2184,179.8273,178.9357,14.741,-1.923248,158.2029,0.3764661,-0.6472692,-0.6628094,0.3129351,-0.9171203,-0.2469052,224.3204,150.4041,149.8168,254.9322,128.2734,161.1596,30.61182,22.13068,11.34283,49.843,27.49995,129.084,65.71382,51.55388,-17.77609,15.87082,-24.05392,-146.8601,2.832713,,,,,,,,,,,,,,
1,2,full,9,1,0.01851667,0.09617507,-0.9860382,0.001710739,-0.1632657,-0.9865806,170.4728,178.9242,6.384346,189.3965,179.9007,179.3997,18.92374,-0.9764709,173.0153,-0.1577938,0.5885446,-0.7929167,-0.2784701,0.7361701,-0.6168532,143.4153,191.2551,344.9915,129.9604,204.2962,339.2799,-13.45486,-13.04109,-5.711548,-27.05753,-12.33089,338.6071,-59.43613,-24.39551,159.8803,-32.3786,12.06462,-178.7269,3.218224,,,,,,,,,,,,,,
1,2,full,10,5,0.04689303,0.005262443,-0.9988863,0.005017628,-0.1580758,-0.9874142,179.6982,177.3122,83.59692,189.0953,179.7088,178.1819,9.397186,-2.396637,94.58501,0.9936348,0.1121084,0.01104057,0.9722506,-0.1836122,-0.1449667,84.37557,89.3634,83.56274,231.708,98.48057,100.6945,147.3324,-9.117172,17.13177,-95.32258,87.94881,-0.03417969,42.61263,81.22828,-77.48741,137.9352,6.720535,-77.45323,3.587026,,,,,,,,,,,,,,
1,2,full,11,8,0.069631,0.1993142,-0.9774587,-0.004422361,-0.1630525,-0.9866074,168.4748,175.9253,19.25702,189.3842,180.2568,181.5536,20.90941,-4.331497,162.2966,0.2807669,0.3133909,-0.9071695,0.2037841,0.002452074,-0.9790128,160.942,162.8028,41.85717,179.8565,168.2416,89.31062,18.91447,-5.438812,47.45345,-7.532776,13.1225,22.60015,-9.52771,12.01518,-92.243,-1.994934,1.107315,-114.8432,3.15578,,,,,,,,,,,,,,
1,2,full,12,6,0.01761113,-0.06654689,-0.9976279,0.008538028,-0.155021,-0.9878743,183.8163,178.9887,165.1769,188.9183,179.5048,176.8475,5.102066,-0.5161591,11.67062,0.2266286,-0.7115349,-0.6650999,0.3173921,-0.9164258,-0.2437747,226.9319,161.1838,162.333,255.1039,127.5263,160.8971,28.17206,33.65752,-1.435852,43.11562,17.80489,-2.843918,66.18561,51.97856,-15.95039,23.06999,-34.17368,-13.10648,3.408612,,,,,,,,,,,,,,
1,2,full,13,3,0.03422625,0.08478921,-0.9958109,0.01189484,-0.1646052,-0.9862878,175.1332,178.0315,21.9821,189.475,179.309,175.8668,14.34174,-1.277527,153.8847,0.3010816,-0.6031508,0.7386196,-0.1462467,-0.9303053,0.3363688,320.7652,22.17716,153.4725,289.8784,336.5015,188.9339,-30.88684,-314.3244,35.46146,145.632,155.8544,131.4904,100.4034,-157.1925,13.06712,-45.22858,313.0468,-118.4233,3.873346,,,,,,,,,,,,,,
